Kantone,size_km2,watershed_area_percentage,watershed_km2,contiguous_cantons,large_lakes,large_rivers,Population,Population_density_per_km2_2013,German,French,Italian,Meanprecipitation,number_of_major_flood_events_2005_2014,water_suply_cantonal _spendings_p_c_mean_2005_2014,wastewater_cantonal_spendings_p_c_mean_2005_2014,links_regierungsrat,links_mehrheit_regierungsrat,linksanteil_parl,mittelinksanteil_parl,GWh_Hydropower (2014),agricult_area_04_09,Upstream,Downstream,Upstream_downstream_ratio,N_of_ARAs_needed_to_update_to_4th_level,Total_number_of_ARAs,percentage_of_ARAs,Personal,Personal_QCA,Average_environmental_pro_vote,Cantonal_water_strategy,downstream_minus_upstream,downstream_div_(downstream_and_upstream)
AG,1403.8,2.3,31.9,6,1,4,636362,456.1,1,0,0,2,4,0.6,6.2,0,0,0.29,0.46,2825.48,44.1,2,14,7,7,42,0.17,30.03,0,40.8,1,12,0.88
AI,172.5,1.6,2.8,2,0,0,15778,91.5,1,0,0,2,1,0.6,88.7,0,0,0,0,7.7,53.7,0,0,0,1,2,0.5,26.77,0,37.8,0,0,0.5
AR,242.9,1,2.5,2,0,0,53691,221.1,1,0,0,2,3,2.8,5.3,0,0,0.08,0.14,5.79,54.8,0,0,0,1,12,0.08,29.29,0.2,43.4,0,0,0.5
BE,5959.1,7,418.2,11,4,3,1001281,171.4,1,1,0,2,7,18,28.7,1,1,0.39,0.47,3287.32,42.6,4,2,0.5,9,68,0.13,62.66,0.6,45.4,1,-2,0.33
BL,517.5,0.5,2.6,4,0,1,278656,538.4,1,0,0,2,3,3.3,66.8,0,0,0.4,0.53,778.11,40.5,1,6,6,6,30,0.2,32.68,0.6,46.9,0,5,0.86
BS,37.1,4,1.5,1,0,1,189335,5117.2,1,0,0,1,2,1.5,177.3,1,1,0.51,0.6,0,12.1,0,7,7,1,1,1,68.2,1,53.5,1,7,1
FR,1670.8,5.6,93.9,3,2,1,297622,186.7,1,1,0,2,5,0,10.7,0,0,0.31,0.59,612.85,56.3,1,2,2,9,26,0.35,41.13,1,38.3,0,1,0.67
GE,282.4,14.5,41,1,1,1,469433,1909.7,0,1,0,1,2,1.4,104.1,1,0,0.31,0.42,732.7,39.5,0,2,2,2,7,0.29,61.19,1,47.7,0,2,1
GL,685.4,5.6,38.2,4,1,1,39593,58.2,1,0,0,2,3,0,4.4,0,0,0.27,0.37,935.74,30,4,0,0,1,1,1,28.49,0.4,40.9,0,-4,0
GR,7105.2,3.3,237,4,0,2,194959,27.4,1,0,1,1,2,29,34.3,0,0,0.14,0.4,7882.63,28.8,7,0,0,1,85,0.01,39.77,0.4,44.9,0,-7,0
JU,838.8,0.5,4.4,4,0,1,71738,85.6,0,1,0,2,1,24.5,44.8,0,0,0.35,0.67,36.6,48.7,0,1,1,2,26,0.08,43.25,0.8,41.9,1,1,1
LU,1493.4,6.2,92.7,6,4,1,390349,273.1,1,0,0,2,5,0.2,8.3,0,0,0.26,0.58,52.71,53.5,2,1,0.5,3,19,0.16,37.64,0.6,42.8,0,-1,0.33
NE,803.1,11.4,91.8,4,2,1,176402,246.1,0,1,0,2,2,4.9,31.1,0,1,0.51,0.52,189.79,41.7,1,0,0,5,19,0.26,52,0.8,42,0,-1,0
NW,276.1,14,38.5,5,1,0,41888,173.4,1,0,0,2,4,0,19.1,0,0,0.18,0.47,133.8,37,0,0,0,0,3,0,29.65,0.2,39.2,0,0,0.5
OW,490.6,6.9,34,4,1,0,36507,75.9,1,0,0,2,4,0,15.8,0,0,0.11,0.45,363.3,36.9,0,0,0,1,3,0.33,37.11,0.4,36.4,0,0,0.5
SO,790.5,5.7,45.1,5,0,1,491699,252.1,1,0,0,2,5,4,12.8,0,0,0.25,0.51,645.82,46.6,1,1,1,3,24,0.13,28.11,0,42.8,0,0,0.5
SG,2026,1.2,23.4,7,3,3,78783,264.2,1,0,0,1,3,0,3.1,0,0,0.38,0.45,0,43.9,11,2,0.2,11,40,0.28,34.13,0.2,43.2,1,-9,0.15
SH,298.5,0.8,2.4,2,1,1,261437,330.7,1,0,0,2,4,8.4,11.9,0,0,0.3,0.53,583.03,42.3,4,3,0.75,2,8,0.25,34.88,0.6,45.1,0,-1,0.43
SZ,908.1,10.2,92.6,7,3,1,151396,177.8,1,0,0,2,3,0.1,9.1,0,0,0.11,0.4,617.29,40.6,2,2,1,5,12,0.42,23.34,0,36.6,0,0,0.5
TG,990.9,14,138.9,3,1,2,260278,301.6,1,0,0,1,4,7.7,16.9,0,0,0.26,0.46,43.78,52,6,3,0.5,3,19,0.16,29.34,0.2,41.4,0,-3,0.33
TI,2812.5,4,111.2,3,2,1,346539,126.4,0,0,1,2,1,0,33.8,0,0,0.23,0.44,3670.15,12.9,0,0,0,4,21,0.19,41.87,0.8,47.9,1,0,0.5
UR,1076.4,10.2,110.3,8,1,1,35865,33.9,1,0,0,2,4,0.8,102.7,1,0,0.17,0.53,1417.98,24.2,3,0,0,1,8,0.13,43.75,0.8,40.7,0,-3,0
VD,3212.1,13.1,419.3,5,3,3,749373,265.5,0,1,0,1,4,0.4,15.3,0,1,0.47,0.5,1058.4,42.4,3,2,0.7,22,152,0.14,49.31,1,41.1,0,-1,0.4
VS,5224.4,14.2,740.2,4,1,1,327011,62.7,1,1,0,1,4,0,28.8,0,0,0.12,0.59,9555.22,19,2,0,0,5,60,0.08,34.7,0.2,31,1,-2,0
ZG,238.7,16.6,39.6,4,1,1,118118,570.3,1,0,0,2,4,1.5,2.1,0,0,0.25,0.53,31.29,43.4,1,2,2,1,3,0.33,43.04,0.4,43,0,1,0.67
ZH,1728.9,5.9,102.3,6,1,3,1425538,858.3,1,0,0,2,4,2.5,9.1,0,0,0.42,0.51,634.98,41.7,4,9,2.25,28,68,0.41,46.11,0,48.2,1,5,0.69